house_id,coordinates_lat,coordinates_lng,date,trap_type,trap_location,any_meassures,adult_house,kids_house,young_kids_house,adult_room,kids_room,young_kids_room,sleep_outdoors,cook,gambiae_count,funestus_count,funestus_parensis,funestus_funestus,funestus_leesoni,gambiae_arabiensis,gambiae_quadrianulatus,gambiae_merus
6011-030,-24.56599007,32.66636217,2/10/16,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6011-056,-24.56196623,32.65606303,8/30/17,2,1,1,1,0,0,1,0,0,NA,2,1,0,0,0,0,0,0,0
3608-136,-25.0620489,32.84746778,11/9/16,2,1,1,1,0,0,1,0,0,NA,2,0,3,0,0,0,0,0,0
6079-034,-24.48834747,32.08054273,10/21/15,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6002-077,-24.80454035,32.85371893,6/9/15,2,1,1,2,0,0,2,0,0,NA,2,2,4,4,0,0,0,0,0
6018-040,-24.89600486,32.35294408,9/20/16,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6079-022,-24.49257147,32.07929497,7/1/15,1,2,0,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,0,0,0,0,0
6072-012,-25.16015845,32.48647467,6/19/15,1,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6071-006,-25.24109289,32.4656733,4/28/16,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
6002-103,-24.80267691,32.85440457,5/12/15,2,1,1,2,0,0,2,0,0,NA,2,0,0,0,0,0,0,0,0
3615-022,-25.06458096,32.81393933,12/6/16,2,1,1,2,0,0,2,0,0,NA,2,1,4,0,0,0,0,0,0
6001-161,-24.81576558,32.86314117,6/16/17,2,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
6001-086,-24.80525164,32.86060721,11/9/17,1,1,1,2,0,0,2,0,0,NA,2,1,0,0,0,0,0,0,0
6046-287,-25.03144666,32.64700968,7/6/17,1,1,1,1,0,0,1,0,0,NA,2,0,0,0,0,0,0,0,0
